Reactome,m,proteins
NFG and proNGF binds to p75NTR,1,TNR16_HUMAN;
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,11,NEMO_HUMAN;IFIH1_HUMAN;CASPA_HUMAN;RN135_HUMAN;MAVS_HUMAN;CASP8_HUMAN;TRI25_HUMAN;RIPK1_HUMAN;FADD_HUMAN;DDX58_HUMAN;IKKA_HUMAN;
NF-kB is activated and signals survival,12,TRAF6_HUMAN;SQSTM_HUMAN;TF65_HUMAN;RL40_HUMAN;RS27A_HUMAN;IRAK1_HUMAN;IKBA_HUMAN;NFKB1_HUMAN;UBC_HUMAN;UBB_HUMAN;TNR16_HUMAN;NGF_HUMAN;
NGF processing,4,PCSK5_HUMAN;PCSK6_HUMAN;FURIN_HUMAN;NGF_HUMAN;
NGF-independant TRKA activation,4,NTRK2_HUMAN;PACR_HUMAN;AA2AR_HUMAN;PACA_HUMAN;
N-Glycan antennae elongation,14,MGT4B_HUMAN;MGT4A_HUMAN;B4GT6_HUMAN;MGT4C_HUMAN;SIA8B_HUMAN;SIA4C_HUMAN;MGT5A_HUMAN;SIA8F_HUMAN;SIAT1_HUMAN;B4GT1_HUMAN;B4GT2_HUMAN;B4GT4_HUMAN;B4GT3_HUMAN;B4GT5_HUMAN;
N-glycan trimming and elongation in the cis-Golgi,1,MANEA_HUMAN;
N-glycan trimming in the ER and Calnexin/Calreticulin cycle,15,AMFR_HUMAN;DERL1_HUMAN;NGLY1_HUMAN;ENASE_HUMAN;GANAB_HUMAN;MLEC_HUMAN;MOGS_HUMAN;UBXN1_HUMAN;RL40_HUMAN;RS27A_HUMAN;PRS4_HUMAN;TERA_HUMAN;RD23B_HUMAN;GLU2B_HUMAN;UBC_HUMAN;
Nicotinamide salvaging,18,S22AD_HUMAN;CP8B1_HUMAN;PARP4_HUMAN;NUD12_HUMAN;NNRE_HUMAN;SC5A8_HUMAN;PAR16_HUMAN;PARP8_HUMAN;PARP9_HUMAN;NNRD_HUMAN;PNCB_HUMAN;RNLS_HUMAN;PAR10_HUMAN;PAR14_HUMAN;PARP6_HUMAN;PTGIS_HUMAN;NAMPT_HUMAN;NNMT_HUMAN;
Nicotinate metabolism,11,NRK1_HUMAN;NRK2_HUMAN;NMNA1_HUMAN;NMNA2_HUMAN;NMNA3_HUMAN;NADE_HUMAN;NAKD2_HUMAN;NADC_HUMAN;BST1_HUMAN;CD38_HUMAN;5NTD_HUMAN;
NIK-->noncanonical NF-kB signaling,58,FBW1A_HUMAN;PSD13_HUMAN;PSME2_HUMAN;FBW1B_HUMAN;M3K14_HUMAN;PSMD1_HUMAN;PSB7_HUMAN;PSMF1_HUMAN;UBA3_HUMAN;PSA7L_HUMAN;PSMD5_HUMAN;PSMD6_HUMAN;PSME4_HUMAN;CUL1_HUMAN;PSMD2_HUMAN;PSME1_HUMAN;RELB_HUMAN;NFKB2_HUMAN;SKP1_HUMAN;RL40_HUMAN;RS27A_HUMAN;PRS10_HUMAN;PRS8_HUMAN;PRS4_HUMAN;PSME3_HUMAN;UBC12_HUMAN;PSA6_HUMAN;DSS1_HUMAN;PSMD4_HUMAN;PSMD7_HUMAN;PSB2_HUMAN;PSB3_HUMAN;PSMD8_HUMAN;PRS6B_HUMAN;PSB10_HUMAN;PRS7_HUMAN;PSB5_HUMAN;PSB6_HUMAN;PSB4_HUMAN;PSA5_HUMAN;PSB9_HUMAN;PSB8_HUMAN;PSA4_HUMAN;PSA3_HUMAN;PSA2_HUMAN;PSA1_HUMAN;PSB1_HUMAN;PRS6A_HUMAN;UBC_HUMAN;UBB_HUMAN;PSD10_HUMAN;PSMD3_HUMAN;IKKA_HUMAN;PSA7_HUMAN;PSDE_HUMAN;PSMD9_HUMAN;PSD12_HUMAN;PSD11_HUMAN;
Nitric oxide stimulates guanylate cyclase,6,GCYB1_HUMAN;GCYA3_HUMAN;NOS2_HUMAN;GCYA2_HUMAN;NOS1_HUMAN;NOS3_HUMAN;
NOD1/2 Signaling Pathway,37,NEMO_HUMAN;TRAF6_HUMAN;NOD1_HUMAN;NOD1_HUMAN;TAB2_HUMAN;CYLD_HUMAN;NOD2_HUMAN;NOD2_HUMAN;CARD9_HUMAN;ITCH_HUMAN;TAB3_HUMAN;MK14_HUMAN;MK11_HUMAN;TAB1_HUMAN;CASP8_HUMAN;BIRC2_HUMAN;BIRC3_HUMAN;UB2V1_HUMAN;RL40_HUMAN;RS27A_HUMAN;UBE2N_HUMAN;CASP9_HUMAN;MK12_HUMAN;MP2K6_HUMAN;IRAK1_HUMAN;CASP4_HUMAN;CASP2_HUMAN;CASP1_HUMAN;TNAP3_HUMAN;UBC_HUMAN;UBB_HUMAN;RIPK2_HUMAN;RIPK2_HUMAN;M3K7_HUMAN;IRAK2_HUMAN;MK13_HUMAN;IKKA_HUMAN;
Noncanonical activation of NOTCH3,7,NOTC3_HUMAN;PEN2_HUMAN;APH1A_HUMAN;NICA_HUMAN;APH1B_HUMAN;YBOX1_HUMAN;PSN2_HUMAN;
Nonhomologous End-Joining (NHEJ),51,DPOLL_HUMAN;BRE_HUMAN;BABA1_HUMAN;TYDP1_HUMAN;DPOLM_HUMAN;NHEJ1_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;BARD1_HUMAN;DCR1C_HUMAN;UIMC1_HUMAN;H2B1A_HUMAN;H2B1H_HUMAN;KAT5_HUMAN;RAD50_HUMAN;PIAS4_HUMAN;H2B3B_HUMAN;RN168_HUMAN;PAXI1_HUMAN;F175A_HUMAN;RIF1_HUMAN;H2B2E_HUMAN;H31T_HUMAN;UB2V2_HUMAN;MDC1_HUMAN;XRCC4_HUMAN;ATM_HUMAN;TP53B_HUMAN;PRKDC_HUMAN;SUMO1_HUMAN;H2B1C_HUMAN;H4_HUMAN;UBE2N_HUMAN;H2B1D_HUMAN;H2BFS_HUMAN;MRE11_HUMAN;DNLI4_HUMAN;BRCC3_HUMAN;BRCA1_HUMAN;H2B1B_HUMAN;H2B1O_HUMAN;H2AX_HUMAN;XRCC5_HUMAN;XRCC6_HUMAN;H2B1J_HUMAN;NSD2_HUMAN;HERC2_HUMAN;TYDP2_HUMAN;RNF8_HUMAN;NBN_HUMAN;
Non-integrin membrane-ECM interactions,40,LAMC3_HUMAN;NRX1A_HUMAN;NET4_HUMAN;DDR2_HUMAN;LAMA3_HUMAN;LAMA4_HUMAN;DAG1_HUMAN;CO4A6_HUMAN;LAMC2_HUMAN;LAMB3_HUMAN;DDR1_HUMAN;COAA1_HUMAN;CO4A3_HUMAN;PGBM_HUMAN;PGBM_HUMAN;LAMB2_HUMAN;CO4A4_HUMAN;CO4A5_HUMAN;CO5A3_HUMAN;LAMA1_HUMAN;LAMA2_HUMAN;CO5A1_HUMAN;COBA2_HUMAN;COBA1_HUMAN;DMD_HUMAN;LAMC1_HUMAN;FGF2_HUMAN;CO4A2_HUMAN;CO1A2_HUMAN;LAMB1_HUMAN;CO5A2_HUMAN;PDGFA_HUMAN;TTHY_HUMAN;FINC_HUMAN;CO4A1_HUMAN;CO3A1_HUMAN;CO2A1_HUMAN;CO1A1_HUMAN;PDGFB_HUMAN;LAMA5_HUMAN;
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),116,RBM8A_HUMAN;RL36_HUMAN;SMG5_HUMAN;RL26L_HUMAN;PNRC2_HUMAN;DCP1A_HUMAN;RENT2_HUMAN;REN3A_HUMAN;REN3A_HUMAN;SMG9_HUMAN;REN3B_HUMAN;SMG1_HUMAN;RL10L_HUMAN;RL39L_HUMAN;MGN2_HUMAN;RL36L_HUMAN;RL3L_HUMAN;RENT1_HUMAN;SMG7_HUMAN;RS4Y2_HUMAN;SMG8_HUMAN;ERF3B_HUMAN;EST1A_HUMAN;RS27L_HUMAN;RL22L_HUMAN;RNPS1_HUMAN;NCBP1_HUMAN;RL18_HUMAN;IF4G1_HUMAN;RL6_HUMAN;RL18A_HUMAN;RL19_HUMAN;RL36A_HUMAN;RL24_HUMAN;PP2AA_HUMAN;RS21_HUMAN;RL38_HUMAN;2ABA_HUMAN;RL40_HUMAN;RS27A_HUMAN;RL41_HUMAN;RL8_HUMAN;RL11_HUMAN;RL32_HUMAN;RL10A_HUMAN;RL31_HUMAN;RL39_HUMAN;RL30_HUMAN;RS30_HUMAN;RS28_HUMAN;RS26_HUMAN;RS25_HUMAN;RS24_HUMAN;RS15_HUMAN;RL23_HUMAN;RS6_HUMAN;RL23A_HUMAN;RS4X_HUMAN;ERF1_HUMAN;RL7A_HUMAN;RS11_HUMAN;RS13_HUMAN;RS29_HUMAN;RS18_HUMAN;RS23_HUMAN;RS14_HUMAN;RS16_HUMAN;RS15A_HUMAN;RS8_HUMAN;RS7_HUMAN;RL37_HUMAN;RL37A_HUMAN;RL27_HUMAN;MGN_HUMAN;RL15_HUMAN;RL26_HUMAN;RS3A_HUMAN;RS20_HUMAN;NCBP2_HUMAN;RL14_HUMAN;RL34_HUMAN;RL29_HUMAN;RS10_HUMAN;RS5_HUMAN;RS9_HUMAN;RL28_HUMAN;RL21_HUMAN;RL5_HUMAN;RL27A_HUMAN;RL35_HUMAN;RS27_HUMAN;RL13A_HUMAN;RL3_HUMAN;RS19_HUMAN;IF4A3_HUMAN;RL4_HUMAN;RL22_HUMAN;RL9_HUMAN;2AAA_HUMAN;RL12_HUMAN;RL10_HUMAN;RL13_HUMAN;RS12_HUMAN;RS3_HUMAN;RS4Y1_HUMAN;RL17_HUMAN;RL7_HUMAN;RL35A_HUMAN;RS2_HUMAN;ERF3A_HUMAN;PABP1_HUMAN;RSSA_HUMAN;RS17_HUMAN;RLA0_HUMAN;RLA2_HUMAN;RLA1_HUMAN;
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),95,RL36_HUMAN;RL26L_HUMAN;RL10L_HUMAN;RL39L_HUMAN;RL36L_HUMAN;RL3L_HUMAN;RENT1_HUMAN;RS4Y2_HUMAN;ERF3B_HUMAN;RS27L_HUMAN;RL22L_HUMAN;NCBP1_HUMAN;RL18_HUMAN;IF4G1_HUMAN;RL6_HUMAN;RL18A_HUMAN;RL19_HUMAN;RL36A_HUMAN;RL24_HUMAN;RS21_HUMAN;RL38_HUMAN;RL40_HUMAN;RS27A_HUMAN;RL41_HUMAN;RL8_HUMAN;RL11_HUMAN;RL32_HUMAN;RL10A_HUMAN;RL31_HUMAN;RL39_HUMAN;RL30_HUMAN;RS30_HUMAN;RS28_HUMAN;RS26_HUMAN;RS25_HUMAN;RS24_HUMAN;RS15_HUMAN;RL23_HUMAN;RS6_HUMAN;RL23A_HUMAN;RS4X_HUMAN;ERF1_HUMAN;RL7A_HUMAN;RS11_HUMAN;RS13_HUMAN;RS29_HUMAN;RS18_HUMAN;RS23_HUMAN;RS14_HUMAN;RS16_HUMAN;RS15A_HUMAN;RS8_HUMAN;RS7_HUMAN;RL37_HUMAN;RL37A_HUMAN;RL27_HUMAN;RL15_HUMAN;RL26_HUMAN;RS3A_HUMAN;RS20_HUMAN;NCBP2_HUMAN;RL14_HUMAN;RL34_HUMAN;RL29_HUMAN;RS10_HUMAN;RS5_HUMAN;RS9_HUMAN;RL28_HUMAN;RL21_HUMAN;RL5_HUMAN;RL27A_HUMAN;RL35_HUMAN;RS27_HUMAN;RL13A_HUMAN;RL3_HUMAN;RS19_HUMAN;RL4_HUMAN;RL22_HUMAN;RL9_HUMAN;RL12_HUMAN;RL10_HUMAN;RL13_HUMAN;RS12_HUMAN;RS3_HUMAN;RS4Y1_HUMAN;RL17_HUMAN;RL7_HUMAN;RL35A_HUMAN;RS2_HUMAN;ERF3A_HUMAN;PABP1_HUMAN;RSSA_HUMAN;RS17_HUMAN;RLA0_HUMAN;RLA2_HUMAN;
NoRC negatively regulates rRNA expression,103,RPAC2_HUMAN;BAZ2A_HUMAN;S30BP_HUMAN;DNM3B_HUMAN;MBD2_HUMAN;RPA12_HUMAN;SP30L_HUMAN;RPA2_HUMAN;SDS3_HUMAN;TAF1D_HUMAN;SP130_HUMAN;RPA49_HUMAN;H2AJ_HUMAN;H2AJ_HUMAN;H2B1L_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1M_HUMAN;H2A1J_HUMAN;H2A1J_HUMAN;H2B1N_HUMAN;H2B1N_HUMAN;SIN3A_HUMAN;H2B1A_HUMAN;H2B1A_HUMAN;H2B1H_HUMAN;H2B1H_HUMAN;H2A1C_HUMAN;H2A1C_HUMAN;HDAC2_HUMAN;TF2H4_HUMAN;H2B3B_HUMAN;H2B3B_HUMAN;H2AV_HUMAN;H2AV_HUMAN;H32_HUMAN;H32_HUMAN;TF2H5_HUMAN;H2A2A_HUMAN;H2A2A_HUMAN;TAF1B_HUMAN;ARI4B_HUMAN;RPA43_HUMAN;H2B2E_HUMAN;H2B2E_HUMAN;H2A2C_HUMAN;H2A2C_HUMAN;TAF1A_HUMAN;TAF1C_HUMAN;TTF1_HUMAN;TF2H3_HUMAN;TF2H2_HUMAN;HDAC1_HUMAN;H33_HUMAN;H33_HUMAN;H31_HUMAN;H31_HUMAN;RPAB5_HUMAN;H2B1C_HUMAN;H2B1C_HUMAN;H4_HUMAN;H4_HUMAN;RPAB2_HUMAN;H2B1D_HUMAN;H2B1D_HUMAN;H2BFS_HUMAN;H2BFS_HUMAN;RPAB4_HUMAN;RPAB3_HUMAN;MAT1_HUMAN;CCNH_HUMAN;CDK7_HUMAN;H2B1B_HUMAN;H2B1B_HUMAN;TF2H1_HUMAN;DNMT1_HUMAN;H2B1O_HUMAN;H2B1O_HUMAN;H2A1D_HUMAN;H2A1D_HUMAN;TBP_HUMAN;ERCC3_HUMAN;RPAB1_HUMAN;ERCC2_HUMAN;UBF1_HUMAN;H2AX_HUMAN;H2AX_HUMAN;H2AB1_HUMAN;H2AB1_HUMAN;H2AZ_HUMAN;H2AZ_HUMAN;H2B1J_HUMAN;H2B1J_HUMAN;H2A1B_HUMAN;H2A1B_HUMAN;RPA1_HUMAN;SAP30_HUMAN;SIN3B_HUMAN;H2B1K_HUMAN;H2B1K_HUMAN;SMCA5_HUMAN;RPA34_HUMAN;RPAC1_HUMAN;
Norepinephrine Neurotransmitter Release Cycle,16,RIMS1_HUMAN;STX1A_HUMAN;LIPA1_HUMAN;VMAT2_HUMAN;VAMP2_HUMAN;SNP25_HUMAN;SYT1_HUMAN;AOFA_HUMAN;RAB3A_HUMAN;RIMB1_HUMAN;LIPA4_HUMAN;LIPA2_HUMAN;LIPA3_HUMAN;S22A1_HUMAN;S22A2_HUMAN;CPLX1_HUMAN;
NOSIP mediated eNOS trafficking,1,NOSIP_HUMAN;
NOSTRIN mediated eNOS trafficking,4,NOSTN_HUMAN;CAV1_HUMAN;DYN2_HUMAN;NOS3_HUMAN;
NOTCH1 Intracellular Domain Regulates Transcription,57,NCOR2_HUMAN;HEY1_HUMAN;HDAC5_HUMAN;HDAC9_HUMAN;HEY2_HUMAN;HDAC6_HUMAN;HEYL_HUMAN;TBL1R_HUMAN;HDAC8_HUMAN;MAML3_HUMAN;MAML3_HUMAN;HDA11_HUMAN;HDA10_HUMAN;FBXW7_HUMAN;KAT2B_HUMAN;KAT2B_HUMAN;KAT2A_HUMAN;KAT2A_HUMAN;CBP_HUMAN;CBP_HUMAN;HDAC2_HUMAN;MAML1_HUMAN;MAML1_HUMAN;HDAC7_HUMAN;MAML2_HUMAN;MAML2_HUMAN;HES5_HUMAN;HIF1A_HUMAN;HES1_HUMAN;CUL1_HUMAN;SNW1_HUMAN;SNW1_HUMAN;HDAC1_HUMAN;MAMD1_HUMAN;MAMD1_HUMAN;EP300_HUMAN;EP300_HUMAN;SUH_HUMAN;SUH_HUMAN;TLE4_HUMAN;TLE3_HUMAN;TLE2_HUMAN;TLE1_HUMAN;SKP1_HUMAN;RL40_HUMAN;RS27A_HUMAN;RBX1_HUMAN;HDAC4_HUMAN;CDK8_HUMAN;NOTC1_HUMAN;NOTC1_HUMAN;CCNC_HUMAN;UBC_HUMAN;UBB_HUMAN;MYC_HUMAN;NCOR1_HUMAN;TBL1X_HUMAN;
NOTCH2 Activation and Transmission of Signal to the Nucleus,23,JAG2_HUMAN;PEN2_HUMAN;DLL4_HUMAN;DLL4_HUMAN;APH1A_HUMAN;MIB2_HUMAN;NICA_HUMAN;APH1B_HUMAN;MIB1_HUMAN;CNTN1_HUMAN;NOTC2_HUMAN;NOTC2_HUMAN;JAG1_HUMAN;RL40_HUMAN;RS27A_HUMAN;PSN2_HUMAN;PSN1_HUMAN;MK_HUMAN;UBC_HUMAN;UBB_HUMAN;NEUL1_HUMAN;ADA10_HUMAN;DLL1_HUMAN;
NOTCH2 intracellular domain regulates transcription,17,MAML3_HUMAN;MAML3_HUMAN;MAML1_HUMAN;MAML1_HUMAN;MAML2_HUMAN;MAML2_HUMAN;HES5_HUMAN;HES1_HUMAN;MAMD1_HUMAN;MAMD1_HUMAN;EP300_HUMAN;SUH_HUMAN;SUH_HUMAN;NOTC2_HUMAN;NOTC2_HUMAN;CREB1_HUMAN;GRAB_HUMAN;
NOTCH3 Activation and Transmission of Signal to the Nucleus,32,TACC3_HUMAN;JAG2_HUMAN;JAG2_HUMAN;NOTC3_HUMAN;NOTC3_HUMAN;PEN2_HUMAN;DLL4_HUMAN;DLL4_HUMAN;APH1A_HUMAN;MIB2_HUMAN;NICA_HUMAN;APH1B_HUMAN;MIB1_HUMAN;JAG1_HUMAN;JAG1_HUMAN;RL40_HUMAN;RL40_HUMAN;RS27A_HUMAN;RS27A_HUMAN;PSN2_HUMAN;PSN1_HUMAN;UBC_HUMAN;UBC_HUMAN;UBB_HUMAN;UBB_HUMAN;EGF_HUMAN;EGFR_HUMAN;NEUL1_HUMAN;ADA10_HUMAN;DLL1_HUMAN;DLL1_HUMAN;WWP2_HUMAN;
NOTCH3 Intracellular Domain Regulates Transcription,36,HEY1_HUMAN;PLXD1_HUMAN;NOTC3_HUMAN;NOTC3_HUMAN;HEY2_HUMAN;HEYL_HUMAN;MAML3_HUMAN;MAML3_HUMAN;KAT2B_HUMAN;KAT2B_HUMAN;KAT2A_HUMAN;KAT2A_HUMAN;CBP_HUMAN;CBP_HUMAN;MAML1_HUMAN;MAML1_HUMAN;MAML2_HUMAN;MAML2_HUMAN;KIBRA_HUMAN;PTCRA_HUMAN;HES5_HUMAN;DLGP5_HUMAN;HES1_HUMAN;SNW1_HUMAN;SNW1_HUMAN;MAMD1_HUMAN;MAMD1_HUMAN;EP300_HUMAN;EP300_HUMAN;SUH_HUMAN;SUH_HUMAN;NOTC1_HUMAN;NOTC1_HUMAN;STAT1_HUMAN;STAT1_HUMAN;PBX1_HUMAN;
NOTCH4 Activation and Transmission of Signal to the Nucleus,11,PEN2_HUMAN;DLL4_HUMAN;NOTC4_HUMAN;NOTC4_HUMAN;APH1A_HUMAN;NICA_HUMAN;APH1B_HUMAN;JAG1_HUMAN;1433Z_HUMAN;PSN2_HUMAN;PSN1_HUMAN;
NOTCH4 Intracellular Domain Regulates Transcription,25,HEY1_HUMAN;HEY2_HUMAN;NOTC4_HUMAN;NOTC4_HUMAN;MAML3_HUMAN;MAML3_HUMAN;KAT2B_HUMAN;KAT2A_HUMAN;CBP_HUMAN;MAML1_HUMAN;MAML1_HUMAN;MAML2_HUMAN;MAML2_HUMAN;HES5_HUMAN;HES1_HUMAN;SNW1_HUMAN;MAMD1_HUMAN;MAMD1_HUMAN;EP300_HUMAN;SUH_HUMAN;SUH_HUMAN;NOTC2_HUMAN;SMAD3_HUMAN;ACTA_HUMAN;NOTC1_HUMAN;
Notch-HLH transcription pathway,12,NOTC3_HUMAN;NOTC4_HUMAN;MAML3_HUMAN;KAT2B_HUMAN;KAT2A_HUMAN;CBP_HUMAN;MAML1_HUMAN;MAML2_HUMAN;SNW1_HUMAN;MAMD1_HUMAN;SUH_HUMAN;NOTC2_HUMAN;
NR1D1 (REV-ERBA) represses gene expression,2,NR1D1_HUMAN;NCOR1_HUMAN;
NRAGE signals death through JNK,59,MAGD1_HUMAN;VAV3_HUMAN;ARHGC_HUMAN;AATF_HUMAN;ARH38_HUMAN;ARHG3_HUMAN;ARHG4_HUMAN;ARGAL_HUMAN;ECT2_HUMAN;PKHG2_HUMAN;ARHGH_HUMAN;FGD4_HUMAN;ARHGQ_HUMAN;ARHG2_HUMAN;BAD_HUMAN;ARHG1_HUMAN;ARH40_HUMAN;PREX1_HUMAN;NGEF_HUMAN;ARG39_HUMAN;ARHGJ_HUMAN;TIAM2_HUMAN;FGD2_HUMAN;ARHG8_HUMAN;ARHGI_HUMAN;ARHGG_HUMAN;OBSCN_HUMAN;FGD3_HUMAN;ITSN1_HUMAN;ARHG6_HUMAN;GNA13_HUMAN;ARHG7_HUMAN;TIAM1_HUMAN;ABR_HUMAN;AKP13_HUMAN;ARHG5_HUMAN;SOS2_HUMAN;SOS1_HUMAN;FGD1_HUMAN;RAC1_HUMAN;VAV2_HUMAN;MK08_HUMAN;MK08_HUMAN;VAV_HUMAN;MCF2_HUMAN;TNR16_HUMAN;NGF_HUMAN;ARHGF_HUMAN;PKHG5_HUMAN;TRIO_HUMAN;KALRN_HUMAN;B2L11_HUMAN;ARHG9_HUMAN;ARHGB_HUMAN;MCF2L_HUMAN;ARHGA_HUMAN;RGRF2_HUMAN;ARG33_HUMAN;ARG35_HUMAN;
NrCAM interactions,6,NRCAM_HUMAN;DLG3_HUMAN;DLG1_HUMAN;CNTN2_HUMAN;DLG4_HUMAN;ANK1_HUMAN;
NRIF signals cell death from the nucleus,19,TRAF6_HUMAN;TRAF6_HUMAN;PEN2_HUMAN;APH1A_HUMAN;NICA_HUMAN;APH1B_HUMAN;SQSTM_HUMAN;CENPR_HUMAN;CENPR_HUMAN;RL40_HUMAN;RS27A_HUMAN;PSN2_HUMAN;PSN1_HUMAN;MK08_HUMAN;UBC_HUMAN;UBB_HUMAN;TNR16_HUMAN;TNR16_HUMAN;NGF_HUMAN;
NS1 Mediated Effects on Host Pathways,37,NUP50_HUMAN;AAAS_HUMAN;NUP85_HUMAN;NUPL1_HUMAN;NDC1_HUMAN;NUP88_HUMAN;P121A_HUMAN;NU205_HUMAN;NU133_HUMAN;PO210_HUMAN;NUP53_HUMAN;NUP37_HUMAN;NUP43_HUMAN;NUP93_HUMAN;NUP54_HUMAN;NU188_HUMAN;IMB1_HUMAN;NU160_HUMAN;RAE1L_HUMAN;NU107_HUMAN;NUP98_HUMAN;NUP98_HUMAN;NUP98_HUMAN;IMA5_HUMAN;IMA1_HUMAN;RBP2_HUMAN;NU153_HUMAN;NUP62_HUMAN;NU214_HUMAN;TPR_HUMAN;ISG15_HUMAN;NU155_HUMAN;NUPL2_HUMAN;IMA6_HUMAN;IMA3_HUMAN;IMA4_HUMAN;IMA8_HUMAN;
NTF3 activates NTRK2 (TRKB) signaling,1,NTRK2_HUMAN;
NTF3 activates NTRK3 signaling,3,NTRK3_HUMAN;NTRK3_HUMAN;NTF3_HUMAN;
NTF4 activates NTRK2 (TRKB) signaling,1,NTRK2_HUMAN;
NTRK2 activates RAC1,6,DOCK3_HUMAN;DOCK3_HUMAN;NTRK2_HUMAN;NTRK2_HUMAN;RAC1_HUMAN;BDNF_HUMAN;
NTRK3 as a dependence receptor,2,NELFB_HUMAN;NTRK3_HUMAN;
Nuclear import of Rev protein,35,NUP50_HUMAN;AAAS_HUMAN;NUP85_HUMAN;NUPL1_HUMAN;NDC1_HUMAN;NUP88_HUMAN;P121A_HUMAN;NU205_HUMAN;NU133_HUMAN;PO210_HUMAN;NUP53_HUMAN;NUP37_HUMAN;NUP43_HUMAN;NUP93_HUMAN;NUP54_HUMAN;NU188_HUMAN;IMB1_HUMAN;IMB1_HUMAN;NU160_HUMAN;RAE1L_HUMAN;RAN_HUMAN;NU107_HUMAN;NUP98_HUMAN;NUP98_HUMAN;NUP98_HUMAN;RBP2_HUMAN;NU153_HUMAN;NUP62_HUMAN;NU214_HUMAN;RCC1_HUMAN;TPR_HUMAN;NPM_HUMAN;NPM_HUMAN;NU155_HUMAN;NUPL2_HUMAN;
Nuclear Pore Complex (NPC) Disassembly,35,NUP50_HUMAN;AAAS_HUMAN;NEK6_HUMAN;NUP85_HUMAN;NUPL1_HUMAN;NDC1_HUMAN;NUP88_HUMAN;P121A_HUMAN;NU205_HUMAN;NU133_HUMAN;PO210_HUMAN;NEK7_HUMAN;NEK9_HUMAN;NUP53_HUMAN;NUP37_HUMAN;NUP43_HUMAN;NUP93_HUMAN;NUP54_HUMAN;NU188_HUMAN;NU160_HUMAN;RAE1L_HUMAN;NU107_HUMAN;NUP98_HUMAN;NUP98_HUMAN;NUP98_HUMAN;RBP2_HUMAN;NU153_HUMAN;NUP62_HUMAN;NU214_HUMAN;CCNB1_HUMAN;TPR_HUMAN;CDK1_HUMAN;CCNB2_HUMAN;NU155_HUMAN;NUPL2_HUMAN;
Nuclear Receptor transcription pathway,70,NR2E3_HUMAN;NR2E1_HUMAN;NRBP_HUMAN;NR1H4_HUMAN;NR1H4_HUMAN;NR1H4_HUMAN;NRBF2_HUMAN;RORB_HUMAN;ESR2_HUMAN;NR4A3_HUMAN;NR2CA_HUMAN;MED1_HUMAN;NR0B2_HUMAN;NR6A1_HUMAN;NR6A1_HUMAN;NR6A1_HUMAN;NR6A1_HUMAN;NR1D2_HUMAN;NR1I3_HUMAN;HNF4G_HUMAN;STF1_HUMAN;NR1H3_HUMAN;PPARA_HUMAN;PPARD_HUMAN;ERR3_HUMAN;NR1H2_HUMAN;NR0B1_HUMAN;RORG_HUMAN;NR2C2_HUMAN;RXRG_HUMAN;NR4A2_HUMAN;HNF4A_HUMAN;PPARG_HUMAN;RORA_HUMAN;RXRB_HUMAN;NR4A1_HUMAN;NR1D1_HUMAN;RXRA_HUMAN;RARG_HUMAN;NR2C1_HUMAN;ERR1_HUMAN;VDR_HUMAN;THB_HUMAN;THA_HUMAN;RARB_HUMAN;COT1_HUMAN;NR2F6_HUMAN;RARA_HUMAN;ANDR_HUMAN;MCR_HUMAN;MCR_HUMAN;MCR_HUMAN;PRGR_HUMAN;PRGR_HUMAN;GCR_HUMAN;GCR_HUMAN;GCR_HUMAN;GCR_HUMAN;GCR_HUMAN;GCR_HUMAN;GCR_HUMAN;ESR1_HUMAN;ERR2_HUMAN;NR1I2_HUMAN;NR1I2_HUMAN;NR1I2_HUMAN;NR1I2_HUMAN;NR1I2_HUMAN;NR1I2_HUMAN;NR5A2_HUMAN;
Nuclear signaling by ERBB4,28,WWOX_HUMAN;PEN2_HUMAN;TAB2_HUMAN;TAB2_HUMAN;HBEGF_HUMAN;APH1A_HUMAN;NICA_HUMAN;NRG4_HUMAN;APH1B_HUMAN;ERBB4_HUMAN;ERBB4_HUMAN;NRG1_HUMAN;ADA17_HUMAN;NRG3_HUMAN;PSN2_HUMAN;PSN1_HUMAN;SDF1_HUMAN;YAP1_HUMAN;STA5A_HUMAN;BTC_HUMAN;GFAP_HUMAN;PRGR_HUMAN;CASB_HUMAN;S100B_HUMAN;ESR1_HUMAN;NCOR1_HUMAN;NCOR1_HUMAN;EREG_HUMAN;
