pathway,m,proteins
Caspase cascade in apoptosis,53,GDIR2_HUMAN;ACTS_HUMAN;TNR1A_HUMAN;PIDD_HUMAN;BIRC3_HUMAN;CASPA_HUMAN;;SPTA2_HUMAN;RIPK1_HUMAN;CASP6_HUMAN;DFFA_HUMAN;DFFB_HUMAN;LIMK1_HUMAN;GRAB_HUMAN;LMNA_HUMAN;PARP1_HUMAN;BID_HUMAN;PERF_HUMAN;NUMA1_HUMAN;CASP2_HUMAN;TRADD_HUMAN;COF2_HUMAN;CRADD_HUMAN;BIRC2_HUMAN;CYC_HUMAN;VIME_HUMAN;GAS2_HUMAN;BCL2_HUMAN;MADD_HUMAN;CASP4_HUMAN;TOP1_HUMAN;CASP8_HUMAN;;LMNB2_HUMAN;GELS_HUMAN;TRAF2_HUMAN;CASP9_HUMAN;K1C18_HUMAN;XIAP_HUMAN;SATB1_HUMAN;LMNB1_HUMAN;TNFA_HUMAN;CASP1_HUMAN;AP2A_HUMAN;BAX_HUMAN;APAF_HUMAN;DBLOH_HUMAN;CASP7_HUMAN;CASP3_HUMAN;SLK_HUMAN;SRBP1_HUMAN;A4_HUMAN;M3K1_HUMAN;
Signaling events mediated by PTP1B,52,LEPR_HUMAN;PGFRB_HUMAN;THIO_HUMAN;SPY2_HUMAN;ITA2B_HUMAN;SRC_HUMAN;INS_HUMAN;DOK1_HUMAN;STAT3_HUMAN;RHOA_HUMAN;CAV1_HUMAN;CRK_HUMAN;CASB_HUMAN;JAK2_HUMAN;CAN1_HUMAN;STA5B_HUMAN;FER_HUMAN;PTN1_HUMAN;AKT1_HUMAN;LEP_HUMAN;TYK2_HUMAN;LYN_HUMAN;LAT_HUMAN;YBOX1_HUMAN;CSF1R_HUMAN;STA5A_HUMAN;PDGFB_HUMAN;ITB3_HUMAN;TRPV6_HUMAN;P85A_HUMAN;SOCS3_HUMAN;BCAR1_HUMAN;CADH2_HUMAN;YES_HUMAN;INSR_HUMAN;BLK_HUMAN;CSF1_HUMAN;EGF_HUMAN;HCK_HUMAN;NOX4_HUMAN;PRL_HUMAN;PRLR_HUMAN;SHC1_HUMAN;CSK_HUMAN;GRB2_HUMAN;FCG2A_HUMAN;IRS1_HUMAN;FGR_HUMAN;FYN_HUMAN;LCK_HUMAN;PK3CA_HUMAN;EGFR_HUMAN;
Signaling events mediated by Stem cell factor receptor (c-Kit),52,SH2B3_HUMAN;CRKL_HUMAN;PTEN_HUMAN;PTN6_HUMAN;SCF_HUMAN;JAK2_HUMAN;RAF1_HUMAN;MP2K1_HUMAN;SOCS1_HUMAN;KS6B1_HUMAN;PK3CA_HUMAN;GRB10_HUMAN;VAV_HUMAN;CBL_HUMAN;RASH_HUMAN;BCL2_HUMAN;PDPK1_HUMAN;SNAI2_HUMAN;KIT_HUMAN;DOK1_HUMAN;P3C2B_HUMAN;SOS1_HUMAN;SPRE2_HUMAN;P85A_HUMAN;MK03_HUMAN;STAT1_HUMAN;MP2K2_HUMAN;STAT3_HUMAN;GAB1_HUMAN;AKT1_HUMAN;SH2B2_HUMAN;GRB2_HUMAN;EPOR_HUMAN;BAD_HUMAN;GSK3B_HUMAN;STA5A_HUMAN;MITF_HUMAN;CBP_HUMAN;TEC_HUMAN;FER_HUMAN;SHC1_HUMAN;PTN11_HUMAN;MK08_HUMAN;LYN_HUMAN;FOXO3_HUMAN;GRAP2_HUMAN;PTPRO_HUMAN;MATK_HUMAN;SPRE1_HUMAN;M4K1_HUMAN;EPO_HUMAN;STAP1_HUMAN;
Validated transcriptional targets of deltaNp63 isoforms,51,WWP1_HUMAN;NRG1_HUMAN;VDR_HUMAN;;ADRM1_HUMAN;ITA3_HUMAN;NOTC1_HUMAN;BRCA2_HUMAN;YAP1_HUMAN;CCNB2_HUMAN;FOSL2_HUMAN;STXB4_HUMAN;MDM2_HUMAN;2A5A_HUMAN;P63_HUMAN;CO5A1_HUMAN;CEBPD_HUMAN;HELLS_HUMAN;IBP3_HUMAN;PO2F2_HUMAN;;DLX5_HUMAN;HES1_HUMAN;TOP2A_HUMAN;;BKRB2_HUMAN;;RAB38_HUMAN;RAD_HUMAN;FAS_HUMAN;BRAC_HUMAN;TF7L1_HUMAN;;DLX6_HUMAN;ATM_HUMAN;HBP1_HUMAN;1433S_HUMAN;K1C14_HUMAN;GBLP_HUMAN;ITCH_HUMAN;PERP_HUMAN;K2C5_HUMAN;;IL1A_HUMAN;UFO_HUMAN;GPX2_HUMAN;GSK3B_HUMAN;ADA_HUMAN;RUNX1_HUMAN;S14L2_HUMAN;MRE11_HUMAN;
Angiopoietin receptor Tie2-mediated signaling,50,AGTR1_HUMAN;MK08_HUMAN;;ANGP2_HUMAN;TNFA_HUMAN;CDN1A_HUMAN;SHC1_HUMAN;MK01_HUMAN;GRB2_HUMAN;NCK1_HUMAN;PLD2_HUMAN;ITA5_HUMAN;ANGP4_HUMAN;PAXI_HUMAN;RASA1_HUMAN;MK03_HUMAN;PLMN_HUMAN;MK14_HUMAN;PTN11_HUMAN;FYN_HUMAN;RAC1_HUMAN;AKT1_HUMAN;ITB1_HUMAN;NOS3_HUMAN;TIE2_HUMAN;CRK_HUMAN;STA5A_HUMAN;FINC_HUMAN;FGF2_HUMAN;DOK2_HUMAN;ELF1_HUMAN;P85A_HUMAN;STA5B_HUMAN;TF65_HUMAN;GRB7_HUMAN;GRB14_HUMAN;BMX_HUMAN;ANGP1_HUMAN;ELF2_HUMAN;THRB_HUMAN;ELK1_HUMAN;TNIP2_HUMAN;KS6B1_HUMAN;NFKB1_HUMAN;MMP2_HUMAN;FES_HUMAN;ETS1_HUMAN;PAK1_HUMAN;PK3CA_HUMAN;FOXO1_HUMAN;
Class I PI3K signaling events,50,;CYH1_HUMAN;ARF1_HUMAN;PKHA1_HUMAN;BLNK_HUMAN;YES_HUMAN;LCK_HUMAN;DAPP1_HUMAN;PK3CB_HUMAN;PI3R6_HUMAN;PLCG2_HUMAN;FYN_HUMAN;;PKHA2_HUMAN;RAP1A_HUMAN;BLK_HUMAN;PTEN_HUMAN;KSYK_HUMAN;HCK_HUMAN;PK3CA_HUMAN;SGK1_HUMAN;ARF5_HUMAN;ITK_HUMAN;RASH_HUMAN;CYH3_HUMAN;ARF6_HUMAN;RAC1_HUMAN;PK3CG_HUMAN;SRC_HUMAN;P85A_HUMAN;HS90A_HUMAN;RHOA_HUMAN;SHIP1_HUMAN;ARAP3_HUMAN;P85B_HUMAN;ZAP70_HUMAN;PLCG1_HUMAN;;SHIP2_HUMAN;FGR_HUMAN;CYH2_HUMAN;PK3CD_HUMAN;PI3R5_HUMAN;BTK_HUMAN;PDPK1_HUMAN;LYN_HUMAN;FOXO3_HUMAN;RASN_HUMAN;P55G_HUMAN;ADAP1_HUMAN;
Arf6 trafficking events,49,PI51C_HUMAN;GTR4_HUMAN;DYN2_HUMAN;ARF6_HUMAN;ITA2_HUMAN;ITA1_HUMAN;NDKA_HUMAN;EXOC6_HUMAN;JIP3_HUMAN;IL2RA_HUMAN;ITB1_HUMAN;ITA4_HUMAN;VAMP3_HUMAN;JIP4_HUMAN;EXOC2_HUMAN;ITA8_HUMAN;CBPE_HUMAN;CTNB1_HUMAN;ASAP2_HUMAN;EXOC4_HUMAN;PLD2_HUMAN;ITA6_HUMAN;ITA5_HUMAN;RALA_HUMAN;CTNA1_HUMAN;ITAV_HUMAN;PLD1_HUMAN;EXOC3_HUMAN;CTND1_HUMAN;INS_HUMAN;TSHR_HUMAN;AGTR1_HUMAN;EDNRB_HUMAN;SCAM2_HUMAN;ADRB2_HUMAN;ITA3_HUMAN;ACAP1_HUMAN;ITA9_HUMAN;CLH1_HUMAN;EXOC1_HUMAN;ITA10_HUMAN;ITA11_HUMAN;ITA7_HUMAN;EXOC7_HUMAN;EXOC5_HUMAN;V2R_HUMAN;KLC1_HUMAN;CADH1_HUMAN;BIN1_HUMAN;
Calcineurin-regulated NFAT-dependent transcription in lymphocytes,49,CREM_HUMAN;CTLA4_HUMAN;PGH2_HUMAN;KPCT_HUMAN;CASP3_HUMAN;EGR1_HUMAN;IFNG_HUMAN;FOSL1_HUMAN;IL8_HUMAN;EGR2_HUMAN;PPARG_HUMAN;NFAC2_HUMAN;NFAC3_HUMAN;EGR3_HUMAN;BCE1_HUMAN;IL5_HUMAN;JUN_HUMAN;GBP3_HUMAN;CALM_HUMAN;IL4_HUMAN;PO2F1_HUMAN;TBX21_HUMAN;CDK4_HUMAN;FOS_HUMAN;CSF2_HUMAN;4F2_HUMAN;IL2_HUMAN;NFAC1_HUMAN;IRF4_HUMAN;BATF3_HUMAN;TNFL6_HUMAN;TNFA_HUMAN;FOXP3_HUMAN;IL2RA_HUMAN;PTPRK_HUMAN;EGR4_HUMAN;DGKA_HUMAN;JUNB_HUMAN;E2F1_HUMAN;;RN128_HUMAN;IKZF1_HUMAN;IL3_HUMAN;PTN1_HUMAN;MAF_HUMAN;GATA3_HUMAN;ITCH_HUMAN;CBLB_HUMAN;CD40L_HUMAN;
FoxO family signaling,49,KC1G1_HUMAN;SGK1_HUMAN;CATA_HUMAN;FBX32_HUMAN;RALA_HUMAN;KC1E_HUMAN;IKKB_HUMAN;PLK1_HUMAN;SIR1_HUMAN;FOXO1_HUMAN;B2L11_HUMAN;RAN_HUMAN;EP300_HUMAN;CBP_HUMAN;KC1G2_HUMAN;FOXO4_HUMAN;MK08_HUMAN;UBP7_HUMAN;KC1A_HUMAN;CTNB1_HUMAN;KC1D_HUMAN;1433E_HUMAN;RALB_HUMAN;IKKA_HUMAN;HGFL_HUMAN;G6PC_HUMAN;KC1G3_HUMAN;CCNB1_HUMAN;TNFL6_HUMAN;GA45A_HUMAN;1433B_HUMAN;1433F_HUMAN;XPO1_HUMAN;MK09_HUMAN;MK10_HUMAN;SODM_HUMAN;SKP2_HUMAN;BCL6_HUMAN;KAT2B_HUMAN;1433T_HUMAN;CDN1B_HUMAN;CDK2_HUMAN;FOXO3_HUMAN;ZFAN5_HUMAN;RBL2_HUMAN;1433G_HUMAN;1433S_HUMAN;AKT1_HUMAN;1433Z_HUMAN;
Hedgehog signaling events mediated by Gli proteins,49,SAP18_HUMAN;RBBP4_HUMAN;KC1A_HUMAN;GNAO_HUMAN;CBP_HUMAN;GSK3B_HUMAN;MP2K1_HUMAN;GNAI2_HUMAN;SAP30_HUMAN;PIAS1_HUMAN;RBBP7_HUMAN;HDAC1_HUMAN;KPCD_HUMAN;XPO1_HUMAN;LEG3_HUMAN;MTSS1_HUMAN;IF172_HUMAN;GLI3_HUMAN;SUFU_HUMAN;SPOP_HUMAN;KC1E_HUMAN;SHH_HUMAN;RAB23_HUMAN;SIN3B_HUMAN;GNAI1_HUMAN;KC1G3_HUMAN;KAPCA_HUMAN;FBW1B_HUMAN;GLI2_HUMAN;KC1G1_HUMAN;GBG2_HUMAN;GLI1_HUMAN;AKT1_HUMAN;GNAI3_HUMAN;FOXA2_HUMAN;KC1D_HUMAN;IFT88_HUMAN;GBB1_HUMAN;ARRB2_HUMAN;GNAO_HUMAN;SMO_HUMAN;STK36_HUMAN;KC1G2_HUMAN;KIF3A_HUMAN;HDAC2_HUMAN;SIN3A_HUMAN;GNAZ_HUMAN;PTC1_HUMAN;SSPO_HUMAN;
Ceramide signaling pathway,48,BID_HUMAN;MP2K1_HUMAN;PDGFA_HUMAN;PRKRA_HUMAN;FADD_HUMAN;KSR1_HUMAN;ASM_HUMAN;MK03_HUMAN;PAWR_HUMAN;MP2K2_HUMAN;TRADD_HUMAN;FAN_HUMAN;TNR1A_HUMAN;MK01_HUMAN;MYC_HUMAN;AKT1_HUMAN;RIPK1_HUMAN;NFKB1_HUMAN;IKBA_HUMAN;MK08_HUMAN;ASAH1_HUMAN;E2AK2_HUMAN;CATD_HUMAN;RB_HUMAN;BAX_HUMAN;RAF1_HUMAN;AIFM1_HUMAN;KPCD_HUMAN;TF65_HUMAN;BAD_HUMAN;EIF2A_HUMAN;BCL2_HUMAN;MP2K4_HUMAN;BAG4_HUMAN;CRADD_HUMAN;NSMA2_HUMAN;M3K1_HUMAN;KPCZ_HUMAN;TNFA_HUMAN;CYC_HUMAN;MADD_HUMAN;TRAF2_HUMAN;M4K4_HUMAN;IGF1_HUMAN;SPHK2_HUMAN;EGF_HUMAN;BIRC3_HUMAN;CASP8_HUMAN;
Notch-mediated HES/HEY network,48,HES6_HUMAN;NOTC1_HUMAN;TWST1_HUMAN;RB_HUMAN;PARP1_HUMAN;MAML2_HUMAN;HDAC1_HUMAN;MYB_HUMAN;NCOR2_HUMAN;HEY1_HUMAN;VGFR2_HUMAN;TYY1_HUMAN;MAML1_HUMAN;MYOD1_HUMAN;GATA4_HUMAN;NCOR1_HUMAN;PTF1A_HUMAN;CD4_HUMAN;NCOA1_HUMAN;MINT_HUMAN;GATA1_HUMAN;ANDR_HUMAN;ASCL1_HUMAN;HES1_HUMAN;COM1_HUMAN;TLE1_HUMAN;RCAN1_HUMAN;KDM1A_HUMAN;GHR_HUMAN;OSTCN_HUMAN;SUH_HUMAN;CDN1B_HUMAN;KCC2D_HUMAN;CBP_HUMAN;ID1_HUMAN;RUNX2_HUMAN;GATA6_HUMAN;E2F1_HUMAN;HIF1A_HUMAN;ARNT_HUMAN;TFE2_HUMAN;LYAG_HUMAN;HEY2_HUMAN;CTBP1_HUMAN;JAK2_HUMAN;STAT3_HUMAN;EP300_HUMAN;NGN3_HUMAN;
Posttranslational regulation of adherens junction stability and dissassembly,48,GDNF_HUMAN;MMP7_HUMAN;CTNA1_HUMAN;CTNB1_HUMAN;ARF6_HUMAN;PLAK_HUMAN;TIAM1_HUMAN;EGFR_HUMAN;GNA12_HUMAN;HGS_HUMAN;RAB7A_HUMAN;MEP1B_HUMAN;EGF_HUMAN;CASP3_HUMAN;DYN2_HUMAN;CTND1_HUMAN;GFRA1_HUMAN;RAC1_HUMAN;FYN_HUMAN;RASH_HUMAN;HAKAI_HUMAN;MET_HUMAN;CABL1_HUMAN;SRC_HUMAN;NTRK2_HUMAN;CBP_HUMAN;BDNF_HUMAN;GNA13_HUMAN;NDKA_HUMAN;SNX1_HUMAN;IGF2_HUMAN;CADH2_HUMAN;ABL1_HUMAN;RET_HUMAN;RIN2_HUMAN;RAB5A_HUMAN;IGF1R_HUMAN;SLIT1_HUMAN;MMP3_HUMAN;PTN6_HUMAN;IQGA1_HUMAN;DESP_HUMAN;CADH1_HUMAN;ROBO1_HUMAN;PTN1_HUMAN;CDC42_HUMAN;ADA10_HUMAN;KAISO_HUMAN;
a6b1 and a6b4 Integrin signaling,47,1433G_HUMAN;LAMA1_HUMAN;RXRA_HUMAN;LAMB1_HUMAN;ITA6_HUMAN;IL1A_HUMAN;1433Z_HUMAN;ERBB2_HUMAN;1433B_HUMAN;1433F_HUMAN;P85A_HUMAN;LAMA3_HUMAN;;CADH1_HUMAN;LAMB2_HUMAN;LAMC3_HUMAN;LAMA2_HUMAN;PMP22_HUMAN;LAMB3_HUMAN;ITB4_HUMAN;KPCA_HUMAN;;GRB2_HUMAN;1433T_HUMAN;COHA1_HUMAN;RON_HUMAN;LAMC1_HUMAN;LAMA5_HUMAN;ITB1_HUMAN;SHC1_HUMAN;1433S_HUMAN;ERBB3_HUMAN;CASP7_HUMAN;RASH_HUMAN;LAMA4_HUMAN;LAMC2_HUMAN;RXRG_HUMAN;EGFR_HUMAN;EGF_HUMAN;1433E_HUMAN;HGFL_HUMAN;MET_HUMAN;;CD9_HUMAN;KS6B1_HUMAN;AKT1_HUMAN;PK3CA_HUMAN;
CXCR3-mediated signaling events,47,MP2K1_HUMAN;RICTR_HUMAN;GBG2_HUMAN;ITB2_HUMAN;;CCL11_HUMAN;MK11_HUMAN;MK14_HUMAN;CXCR3_HUMAN;DYN1_HUMAN;CXCL9_HUMAN;RASN_HUMAN;CXL11_HUMAN;MK01_HUMAN;P85A_HUMAN;LST8_HUMAN;;PK3CB_HUMAN;MP2K2_HUMAN;MTOR_HUMAN;GNAI3_HUMAN;PLF4_HUMAN;GNAO_HUMAN;PDPK1_HUMAN;MP2K6_HUMAN;GNAZ_HUMAN;GNAI2_HUMAN;SRC_HUMAN;P85B_HUMAN;GNAO_HUMAN;CXL13_HUMAN;ARRB1_HUMAN;AKT1_HUMAN;CXL10_HUMAN;;RASH_HUMAN;MK03_HUMAN;;ITAL_HUMAN;RAF1_HUMAN;PK3CA_HUMAN;SIN1_HUMAN;GNAI1_HUMAN;GBB1_HUMAN;PK3CD_HUMAN;P55G_HUMAN;MP2K3_HUMAN;
Fanconi anemia pathway,47,PALB2_HUMAN;UBE2T_HUMAN;SSPO_HUMAN;HUS1_HUMAN;RFA2_HUMAN;FANCL_HUMAN;FANCM_HUMAN;FBW1B_HUMAN;FP100_HUMAN;BRCA1_HUMAN;RAD17_HUMAN;FAP24_HUMAN;RAD9A_HUMAN;FACD2_HUMAN;TOPB1_HUMAN;ATRIP_HUMAN;FANCG_HUMAN;FANCC_HUMAN;CHK1_HUMAN;CENPS_HUMAN;MRE11_HUMAN;BRCA2_HUMAN;RFC3_HUMAN;XRCC3_HUMAN;FANCE_HUMAN;FANCI_HUMAN;FANCF_HUMAN;FAN1_HUMAN;TOP3A_HUMAN;FANCA_HUMAN;FANCB_HUMAN;RAD1_HUMAN;ATM_HUMAN;FANCJ_HUMAN;RFC4_HUMAN;H2AX_HUMAN;RAD50_HUMAN;ATR_HUMAN;RFA1_HUMAN;NBN_HUMAN;BLM_HUMAN;RFC5_HUMAN;RMI1_HUMAN;HES1_HUMAN;UBP1_HUMAN;WDR48_HUMAN;RFC2_HUMAN;
IL6-mediated signaling events,47,PK3CA_HUMAN;KPCD_HUMAN;IL6RB_HUMAN;HCK_HUMAN;CEBPD_HUMAN;MK14_HUMAN;JAK2_HUMAN;MP2K4_HUMAN;PIAS1_HUMAN;AKT1_HUMAN;RAC1_HUMAN;;JUN_HUMAN;STAT1_HUMAN;SOCS3_HUMAN;LBP_HUMAN;IL6RA_HUMAN;ENPL_HUMAN;JAK1_HUMAN;TNF11_HUMAN;P85A_HUMAN;CEBPB_HUMAN;FOS_HUMAN;GAB1_HUMAN;VAV_HUMAN;GRB2_HUMAN;A2MG_HUMAN;JUNB_HUMAN;GAB2_HUMAN;MK11_HUMAN;;CRP_HUMAN;LMO4_HUMAN;STAT3_HUMAN;MP2K6_HUMAN;PTN11_HUMAN;SOS1_HUMAN;FIBG_HUMAN;IRF1_HUMAN;MITF_HUMAN;FOXO1_HUMAN;TIMP1_HUMAN;MYC_HUMAN;PIAS3_HUMAN;MCL1_HUMAN;IL6_HUMAN;TYK2_HUMAN;
LKB1 signaling events,47,LST8_HUMAN;BRSK1_HUMAN;AAKG1_HUMAN;1433T_HUMAN;STRAA_HUMAN;MARK2_HUMAN;MARK4_HUMAN;MST4_HUMAN;CREB1_HUMAN;SIK1_HUMAN;;ESR1_HUMAN;1433E_HUMAN;CRTC2_HUMAN;SMAD4_HUMAN;HS90A_HUMAN;TSC2_HUMAN;CAB39_HUMAN;1433S_HUMAN;CDC37_HUMAN;KAPCA_HUMAN;STRAB_HUMAN;CATD_HUMAN;1433B_HUMAN;MTOR_HUMAN;AAKB1_HUMAN;RPTOR_HUMAN;S11IP_HUMAN;EZRI_HUMAN;AAPK1_HUMAN;SIK3_HUMAN;AKTS1_HUMAN;1433G_HUMAN;P53_HUMAN;PSN2_HUMAN;MYC_HUMAN;AAPK2_HUMAN;STK11_HUMAN;SIK2_HUMAN;GSK3B_HUMAN;1433Z_HUMAN;ETV4_HUMAN;SMRD3_HUMAN;BRSK2_HUMAN;1433F_HUMAN;TSC1_HUMAN;MAP2_HUMAN;
PLK1 signaling events,47,CENPE_HUMAN;ROCK2_HUMAN;PLK1_HUMAN;MPIP3_HUMAN;SPC24_HUMAN;BUB1B_HUMAN;FBW1B_HUMAN;KIF2A_HUMAN;RHOA_HUMAN;2AAA_HUMAN;ERC6L_HUMAN;CDK1_HUMAN;CLSPN_HUMAN;NUDC_HUMAN;AURKA_HUMAN;;MPIP2_HUMAN;FBX5_HUMAN;GOGA2_HUMAN;CCNB1_HUMAN;NDC80_HUMAN;KI20A_HUMAN;FZR_HUMAN;SSPO_HUMAN;PP1B_HUMAN;PP2AA_HUMAN;KIZ_HUMAN;INCE_HUMAN;TBG1_HUMAN;CENPU_HUMAN;ECT2_HUMAN;TCTP_HUMAN;WEE1_HUMAN;NINL_HUMAN;MYPT1_HUMAN;;SGOL1_HUMAN;PAK1_HUMAN;CDC20_HUMAN;BORA_HUMAN;TPX2_HUMAN;GORS1_HUMAN;STAG2_HUMAN;;CC14B_HUMAN;RAB1A_HUMAN;BUB1_HUMAN;
Presenilin action in Notch and Wnt signaling,46,TLE1_HUMAN;DKK1_HUMAN;2A5D_HUMAN;APH1A_HUMAN;JUN_HUMAN;DLL1_HUMAN;KREM2_HUMAN;SSPO_HUMAN;HNF1A_HUMAN;AES_HUMAN;FBW1B_HUMAN;DTX1_HUMAN;KC1A_HUMAN;LRP6_HUMAN;M3K7_HUMAN;PSN1_HUMAN;CTNB1_HUMAN;NICA_HUMAN;WNT1_HUMAN;NOTC1_HUMAN;DKK2_HUMAN;NKD1_HUMAN;NEDD4_HUMAN;FRAT1_HUMAN;MK03_HUMAN;MYC_HUMAN;FZD1_HUMAN;DVL1_HUMAN;AXIN1_HUMAN;FOS_HUMAN;TAB1_HUMAN;APH1B_HUMAN;PEN2_HUMAN;CSK21_HUMAN;WIF1_HUMAN;PPARD_HUMAN;ADA10_HUMAN;SUH_HUMAN;GSK3B_HUMAN;CTBP1_HUMAN;MK01_HUMAN;CBP_HUMAN;CCND1_HUMAN;NLK_HUMAN;HDAC1_HUMAN;APC_HUMAN;
Regulation of RhoA activity,46,SRGP1_HUMAN;RHG09_HUMAN;OPHN1_HUMAN;ARHG5_HUMAN;GDIR1_HUMAN;FARP1_HUMAN;CDN1B_HUMAN;ARHG8_HUMAN;MCF2_HUMAN;RGNEF_HUMAN;TRIO_HUMAN;ARHGC_HUMAN;PKHG6_HUMAN;ARGAL_HUMAN;RHG06_HUMAN;ARHGA_HUMAN;ARHGF_HUMAN;MYO9B_HUMAN;MCF2L_HUMAN;ABR_HUMAN;ARHG3_HUMAN;RHOA_HUMAN;GDIR3_HUMAN;ARHG1_HUMAN;VAV_HUMAN;BCR_HUMAN;VAV2_HUMAN;DEFI6_HUMAN;OBSCN_HUMAN;AKP13_HUMAN;ARHGP_HUMAN;ARAP3_HUMAN;ARHGH_HUMAN;RHG07_HUMAN;RHG35_HUMAN;ARAP1_HUMAN;ARHG2_HUMAN;ARHGB_HUMAN;NGEF_HUMAN;RHG04_HUMAN;RHG08_HUMAN;GDIR2_HUMAN;RHG05_HUMAN;ECT2_HUMAN;ARHGI_HUMAN;VAV3_HUMAN;
RhoA signaling pathway,46,MP2K6_HUMAN;MKL1_HUMAN;PKN1_HUMAN;PKN2_HUMAN;PI51A_HUMAN;MP2K4_HUMAN;ROCK2_HUMAN;RHOA_HUMAN;PLD1_HUMAN;SL9A3_HUMAN;EZRI_HUMAN;MP2K3_HUMAN;;ITB1_HUMAN;KPCZ_HUMAN;VINC_HUMAN;PTEN_HUMAN;CDN1B_HUMAN;PAR3_HUMAN;FOS_HUMAN;COF1_HUMAN;SL9A1_HUMAN;DIAP1_HUMAN;SCAI_HUMAN;ATF2_HUMAN;MOES_HUMAN;MK08_HUMAN;;SH3G2_HUMAN;PI51B_HUMAN;ROCK1_HUMAN;SRF_HUMAN;TLN1_HUMAN;PI51C_HUMAN;PAR6A_HUMAN;CYR61_HUMAN;JUN_HUMAN;RADI_HUMAN;MK12_HUMAN;CDC42_HUMAN;MYPT1_HUMAN;ACTS_HUMAN;PLD2_HUMAN;LIMK1_HUMAN;MLRV_HUMAN;LIMK2_HUMAN;
Syndecan-1-mediated signaling events,46,CO1A2_HUMAN;HGF_HUMAN;COBA1_HUMAN;COAA1_HUMAN;CO9A1_HUMAN;MET_HUMAN;COHA1_HUMAN;PPIB_HUMAN;CO4A3_HUMAN;TGFB1_HUMAN;CO4A5_HUMAN;MMP9_HUMAN;CO3A1_HUMAN;COGA1_HUMAN;CO5A1_HUMAN;LAMA5_HUMAN;CODA1_HUMAN;CO8A2_HUMAN;CO5A2_HUMAN;SDCB1_HUMAN;CO4A4_HUMAN;CO4A6_HUMAN;COEA1_HUMAN;KAPCA_HUMAN;CO6A1_HUMAN;MK03_HUMAN;CCL5_HUMAN;HPSE_HUMAN;CO9A2_HUMAN;MK01_HUMAN;CO2A1_HUMAN;CO1A1_HUMAN;MMP7_HUMAN;CO9A3_HUMAN;COBA2_HUMAN;CO7A1_HUMAN;CO4A1_HUMAN;MMP1_HUMAN;CO6A3_HUMAN;SDC1_HUMAN;COCA1_HUMAN;CO6A2_HUMAN;COFA1_HUMAN;BASI_HUMAN;CSKP_HUMAN;CO8A1_HUMAN;
TNF receptor signaling pathway,46,TNFA_HUMAN;M4K5_HUMAN;ASM_HUMAN;BAG4_HUMAN;TRAF1_HUMAN;RFFL_HUMAN;GBLP_HUMAN;NFKB1_HUMAN;STAT1_HUMAN;FAN_HUMAN;M3K5_HUMAN;TRADD_HUMAN;TAB2_HUMAN;IKKB_HUMAN;KPCZ_HUMAN;TNAP3_HUMAN;M4K4_HUMAN;TRAF2_HUMAN;RIPK1_HUMAN;CAV1_HUMAN;M3K3_HUMAN;KPCI_HUMAN;BIRC3_HUMAN;NEMO_HUMAN;CASP8_HUMAN;IKKA_HUMAN;FADD_HUMAN;M3K7_HUMAN;THIO_HUMAN;SQSTM_HUMAN;M3K1_HUMAN;M4K3_HUMAN;M4K2_HUMAN;NSMA_HUMAN;TAB1_HUMAN;MP2K3_HUMAN;TNIK_HUMAN;NRK_HUMAN;MADD_HUMAN;MP2K7_HUMAN;TF65_HUMAN;ADA17_HUMAN;TNR1B_HUMAN;CYLD_HUMAN;TNR1A_HUMAN;BIRC2_HUMAN;
ErbB2/ErbB3 signaling events,45,ERBB2_HUMAN;MK09_HUMAN;JAK2_HUMAN;RAC1_HUMAN;P85A_HUMAN;PK3CB_HUMAN;ACHE_HUMAN;STAT3_HUMAN;MK08_HUMAN;PTN11_HUMAN;;RASH_HUMAN;MK01_HUMAN;MP2K1_HUMAN;KAPCA_HUMAN;GRB2_HUMAN;CDC42_HUMAN;SRC_HUMAN;BAD_HUMAN;MK03_HUMAN;DOCK7_HUMAN;MP2K2_HUMAN;MK10_HUMAN;PK3CA_HUMAN;UBP8_HUMAN;ERBB3_HUMAN;ACHA_HUMAN;NFAC4_HUMAN;PP2BB_HUMAN;;AKT1_HUMAN;RNF41_HUMAN;FOS_HUMAN;JUN_HUMAN;NRG2_HUMAN;SHC1_HUMAN;RASN_HUMAN;P85B_HUMAN;;MERL_HUMAN;PK3CD_HUMAN;RAF1_HUMAN;MTOR_HUMAN;SOS1_HUMAN;P55G_HUMAN;
